year,round,driver,constructor,circuit,location,country,date,position,grid,qualifying_position,dnf,pit_stops,temperature,humidity,wind_speed,precipitation,driver_podiums,constructor_podiums,driver_wins,constructor_wins
2000,6,Rubens Barrichello,Ferrari,Nürburgring,Nürburg,Germany,2000-05-21,4,4,-1,True,0,7.8,,10.8,7.8,3,36,0,11
2000,6,David Coulthard,McLaren,Nürburgring,Nürburg,Germany,2000-05-21,3,1,-1,True,0,7.8,,10.8,7.8,37,24,9,6
2000,6,Giancarlo Fisichella,Benetton,Nürburgring,Nürburg,Germany,2000-05-21,5,7,-1,True,0,7.8,,10.8,7.8,9,12,0,1
2000,5,Jacques Villeneuve,BAR,Circuit de Barcelona-Catalunya,Montmeló,Spain,2000-05-07,19,6,-1,True,0,,,,,23,2,11,0
2000,6,Pedro Diniz,Sauber,Nürburgring,Nürburg,Germany,2000-05-21,7,15,-1,True,0,7.8,,10.8,7.8,0,1,0,0
2000,6,Gastón Mazzacane,Minardi,Nürburgring,Nürburg,Germany,2000-05-21,8,21,-1,True,0,7.8,,10.8,7.8,0,0,0,0
2000,6,Jean Alesi,Prost,Nürburgring,Nürburg,Germany,2000-05-21,9,17,-1,True,0,7.8,,10.8,7.8,18,3,1,0
2000,6,Jenson Button,Williams,Nürburgring,Nürburg,Germany,2000-05-21,10,11,-1,True,0,7.8,,10.8,7.8,12,24,0,9
2000,6,Ricardo Zonta,BAR,Nürburgring,Nürburg,Germany,2000-05-21,13,18,-1,True,0,7.8,,10.8,7.8,0,2,0,0
2000,6,Johnny Herbert,Jaguar,Nürburgring,Nürburg,Germany,2000-05-21,11,16,-1,True,0,7.8,,10.8,7.8,5,2,2,0
2000,6,Alexander Wurz,Benetton,Nürburgring,Nürburg,Germany,2000-05-21,12,14,-1,True,0,7.8,,10.8,7.8,3,12,0,1
2000,6,Marc Gené,Minardi,Nürburgring,Nürburg,Germany,2000-05-21,14,20,-1,True,0,7.8,,10.8,7.8,0,0,0,0
2000,6,Jacques Villeneuve,BAR,Nürburgring,Nürburg,Germany,2000-05-21,15,9,-1,True,0,7.8,,10.8,7.8,23,2,11,0
2000,6,Eddie Irvine,Jaguar,Nürburgring,Nürburg,Germany,2000-05-21,16,8,-1,True,0,7.8,,10.8,7.8,24,2,4,0
2000,6,Ralf Schumacher,Williams,Nürburgring,Nürburg,Germany,2000-05-21,18,5,-1,True,0,7.8,,10.8,7.8,0,24,0,9
2000,6,Jos Verstappen,Arrows,Nürburgring,Nürburg,Germany,2000-05-21,17,13,-1,True,0,7.8,,10.8,7.8,2,4,0,0
2000,6,Heinz-Harald Frentzen,Jordan,Nürburgring,Nürburg,Germany,2000-05-21,20,10,-1,True,0,7.8,,10.8,7.8,16,1,3,0
2000,7,Giancarlo Fisichella,Benetton,Circuit de Monaco,Monte-Carlo,Monaco,2000-06-04,3,8,-1,False,0,22.9,,8.1,0.0,9,12,0,1
2000,7,Rubens Barrichello,Ferrari,Circuit de Monaco,Monte-Carlo,Monaco,2000-06-04,2,6,-1,False,0,22.9,,8.1,0.0,3,36,0,11
2000,7,David Coulthard,McLaren,Circuit de Monaco,Monte-Carlo,Monaco,2000-06-04,1,3,-1,False,0,22.9,,8.1,0.0,37,24,9,6
2000,7,Eddie Irvine,Jaguar,Circuit de Monaco,Monte-Carlo,Monaco,2000-06-04,4,10,-1,False,0,22.9,,8.1,0.0,24,2,4,0
2000,6,Jarno Trulli,Jordan,Nürburgring,Nürburg,Germany,2000-05-21,21,6,-1,True,0,7.8,,10.8,7.8,1,1,0,0
2000,7,Mika Salo,Sauber,Circuit de Monaco,Monte-Carlo,Monaco,2000-06-04,5,13,-1,False,0,22.9,,8.1,0.0,2,1,0,0
2000,7,Mika Häkkinen,McLaren,Circuit de Monaco,Monte-Carlo,Monaco,2000-06-04,6,5,-1,True,0,22.9,,8.1,0.0,17,24,2,6
2000,6,Mika Salo,Sauber,Nürburgring,Nürburg,Germany,2000-05-21,19,19,-1,True,0,7.8,,10.8,7.8,2,1,0,0
2000,7,Jacques Villeneuve,BAR,Circuit de Monaco,Monte-Carlo,Monaco,2000-06-04,7,17,-1,True,0,22.9,,8.1,0.0,23,2,11,0
2000,7,Nick Heidfeld,Prost,Circuit de Monaco,Monte-Carlo,Monaco,2000-06-04,8,18,-1,True,0,22.9,,8.1,0.0,4,3,0,0
2000,7,Johnny Herbert,Jaguar,Circuit de Monaco,Monte-Carlo,Monaco,2000-06-04,9,11,-1,True,0,22.9,,8.1,0.0,5,2,2,0
2000,7,Michael Schumacher,Ferrari,Circuit de Monaco,Monte-Carlo,Monaco,2000-06-04,12,1,-1,True,0,22.9,,8.1,0.0,0,36,0,11
